DB,Clients,Count,Mean_TPS,Median_TPS,Mean_Latency_ms,Median_Latency_ms
postgresql,1,3,111.531,81.471,12.405,12.274
postgresql,4,3,328.139,328.79,12.218,12.166
postgresql,8,3,1496.418,1489.67,5.356,5.37
postgresql,16,3,2743.779,2754.251,5.834,5.809
postgresql,32,3,3623.44,3652.972,8.833,8.76
postgresql,64,3,4539.812,4550.902,14.099,14.063
opengauss,1,3,96.769,67.196,13.565,14.882
opengauss,4,3,302.181,295.972,13.258,13.515
opengauss,8,3,1307.356,1331.148,6.145,6.01
opengauss,16,3,2279.304,2274.287,7.02,7.035
opengauss,32,3,3110.091,3155.522,10.294,10.141
opengauss,64,3,3848.237,3845.547,16.631,16.643
